index,year,defense,health,education,science and technology
1,2004,3.465015174,5.79892826,4.079349995,0.15353
2,2005,3.352873388,6.06709814,4.020989895,0.15086
3,2006,3.276130639,6.33551502,3.916719913,0.1495
4,2007,3.266739663,6.49102831,4.083010197,0.18455
5,2008,3.744606437,6.84192705,3.938780069,0.20125
6,2009,3.885353868,7.31134653,4.776519775,0.19608
7,2010,3.642755602,7.07130146,4.83382988,0.19501
8,2011,3.081613642,6.78076839,4.466080189,0.20595
9,2012,3.158960235,6.74599648,4.370389938,0.23378
10,2013,3.274401004,7.01724052,4.878550053,0.27111
11,2014,3.108258848,7.18553209,4.629459858,0.30563
12,2015,3.109960084,7.52338552,4.470389843,0.28975
13,2016,3.071131026,7.53117037,4.477210045,0.26694
14,2017,3.209062437,7.67864275,4.535510063,0.24286
15,2018,3.062105511,7.63980007,4.449100018,0.23462
